round,gate,label,runtime,game,device_model,device_brand,android_release,android_sdk,webview_version,migo_version,harness_version,timestamp,fps_source,first_frame_ms,game_ready_ms,cpu_pct,pss_peak_kb,fps_median,fps_1pct_low
1,"cold soc=33322mC max=2861000 waited=0s",bunnymark_webview,webview,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T05:43:19Z,game-telemetry,353,533,125,235764,60,60
1,"cold soc=34299mC max=2861000 waited=10s",bunnymark_migo,migo,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T05:45:56Z,game-telemetry,220,404,44,122705,60,59
1,"cold soc=33058mC max=2861000 waited=1s",endless-runner_webview,webview,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T05:48:17Z,game-telemetry,350,647,128,392781,60,60
1,"cold soc=34997mC max=2861000 waited=16s",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T05:50:59Z,game-telemetry,311,668,44,215467,60,59
1,"cold soc=34483mC max=2861000 waited=0s",canvasmark_webview,webview,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T05:53:21Z,game-telemetry,492,503,176,219268,60,60
1,"TIMEOUT waited=423s soc=35873mC max=2861000 PROCEEDED-UNGATED",canvasmark_migo,migo,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T06:02:52Z,game-telemetry,229,322,83,99775,60,59
2,"cold soc=33823mC max=2861000 waited=0s",bunnymark_migo,migo,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T06:05:20Z,game-telemetry,233,386,43,123987,60,59
2,"cold soc=33081mC max=2861000 waited=0s",bunnymark_webview,webview,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T06:07:42Z,game-telemetry,352,522,124,235899,60,60
2,"cold soc=34814mC max=2861000 waited=10s",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T06:10:19Z,game-telemetry,308,616,42,217338,60,59
2,"cold soc=33173mC max=2861000 waited=0s",endless-runner_webview,webview,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T06:12:40Z,game-telemetry,480,803,128,393309,60,60
2,"cold soc=34997mC max=2861000 waited=15s",canvasmark_migo,migo,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T06:15:22Z,game-telemetry,222,326,76,99693,60,59
2,"cold soc=33281mC max=2861000 waited=0s",canvasmark_webview,webview,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T06:17:43Z,game-telemetry,348,375,175,230057,60,60
3,"cold soc=34997mC max=2861000 waited=135s",bunnymark_webview,webview,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T06:22:19Z,game-telemetry,359,515,127,235140,60,60
3,"cold soc=34826mC max=2861000 waited=10s",bunnymark_migo,migo,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T06:24:55Z,game-telemetry,220,404,44,124056,60,59
3,"cold soc=32996mC max=2861000 waited=0s",endless-runner_webview,webview,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T06:27:16Z,game-telemetry,358,660,130,391688,60,60
3,"cold soc=34848mC max=2861000 waited=10s",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T06:29:52Z,game-telemetry,337,663,41,217223,60,59
3,"cold soc=33004mC max=2861000 waited=0s",canvasmark_webview,webview,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-08-30T06:32:13Z,game-telemetry,491,509,160,196163,60,60
3,"cold soc=34997mC max=2861000 waited=175s",canvasmark_migo,migo,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T06:37:34Z,game-telemetry,223,327,76,98717,60,59
4,"cold soc=33443mC max=2861000 waited=1s",canvasmark_migo,migo,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),v0.9.6,1.0.0,2026-08-30T06:42:14Z,game-telemetry,218,318,76,102811,60,59
1,"cold soc=33081mC max=2861000 waited=0s",bunnymark_webview,webview,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-09-01T22:52:08Z,game-telemetry,347,526,116,239244,60,60
1,"cold soc=32841mC max=2861000 waited=3s",bunnymark_migo,migo,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),b2b62e4dafd41a46cae8a003825f34e7484dc3f9,1.0.0,2026-09-01T22:54:48Z,game-telemetry,231,389,42,126232,60,59
1,"cold soc=32250mC max=2861000 waited=0s",endless-runner_webview,webview,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-09-01T22:57:02Z,game-telemetry,344,643,121,396603,60,60
1,"cold soc=33142mC max=2861000 waited=5s",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),b2b62e4dafd41a46cae8a003825f34e7484dc3f9,1.0.0,2026-09-01T22:59:41Z,game-telemetry,296,604,40,221225,60,59
1,"cold soc=31832mC max=2861000 waited=0s",canvasmark_webview,webview,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),n/a,1.0.0,2026-09-01T23:01:55Z,game-telemetry,341,376,171,226220,60,60
